Timestamp,Sentiment,Seberapa  puaskah anda dengan pelayanan kami ,Seberapa sering anda membeli barang MochThrift ?,Apakah anda akan merekomendasikan MochtThrift kepada teman atau keluarga ?,Text Tweet
26/05/2023 21:41:03,Positive,Sangat Puas,Setiap Bulan,"Ya, Pasti",Keren!
26/05/2023 21:43:26,Negative,Netral,Jarang Sekali,Tidak Yakin,"tingkatkan pelayanan anda, dan ada beberapa kecacatan dalam produk yang semestinya tidak diperjual belikan"
26/05/2023 21:44:19,Positive,Puas,Jarang Sekali,"Ya, Pasti","sangat senang, mudah berbelanja dan sangat nyaman"
26/05/2023 21:44:25,Positive,Puas,Setiap Bulan,Mungkin,"Bagus, Like New dan Murce"
26/05/2023 21:45:00,Negative,Netral,Belum pernah Membeli,Tidak,"Bajunya ada sobeknyaa, perhatikan lagi "
26/05/2023 21:45:41,Positive,Puas,Setiap Dua Minggu,"Ya, Pasti","Tempat andalan ini mah, mau bergaya tapi budget murce mochthrift tempatnya"
26/05/2023 21:46:16,Positive,Sangat Puas,Setiap Bulan,Mungkin,Setiap gajian pasti singgah sini nih
26/05/2023 21:46:49,Negative,Puas,Jarang Sekali,Tidak,Mungkin mimin bisa kasih Give Away
26/05/2023 21:55:54,Positive,Sangat Puas,Setiap Bulan,"Ya, Pasti",sangat nyaman harga terjangkau
26/05/2023 21:56:12,Negative,Sangat Puas,Setiap Dua Minggu,"Ya, Pasti",mantap
26/05/2023 21:56:43,Positive,Sangat Puas,Setiap Bulan,"Ya, Pasti",Kerenn
26/05/2023 21:57:03,Negative,Puas,Setiap Bulan,Mungkin,Mantappp
26/05/2023 21:57:19,Positive,Sangat Puas,Setiap Bulan,"Ya, Pasti",Topp
26/05/2023 21:58:01,Negative,Sangat Puas,Setiap Bulan,"Ya, Pasti",Sangat berkualitas bagus
26/05/2023 21:58:30,Positive,Sangat Puas,Jarang Sekali,"Ya, Pasti",Top mantap is the best
